Scope,Project,Namespace,Type,Member,Maintainability Index,Cyclomatic Complexity,Depth of Inheritance,Class Coupling,Lines of Source code,Lines of Executable code
Assembly,Congestion-Tax-Calculator-Net-Core (Debug), , , ,82,351,3,61,1670,242
Namespace,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator, , ,90,77,1,5,385,41
Type,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator,Car, ,100,1,1,1,12,1
Member,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator,Car,GetVehicleType() : string,100,1,,0,9,1
Type,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator,CongestionTaxCalculator, ,57,73,1,5,312,37
Member,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator,CongestionTaxCalculator,"GetTax(IVehicle, DateTime[]) : int",57,6,,3,34,14
Member,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator,CongestionTaxCalculator,IsTollFreeVehicle(IVehicle) : bool,72,7,,2,14,3
Member,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator,CongestionTaxCalculator,"GetTollFee(DateTime, IVehicle) : int",52,32,,2,28,12
Member,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator,CongestionTaxCalculator,IsTollFreeDate(DateTime) : bool,57,28,,2,24,8
Type,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator,CongestionTaxCalculator.TollFreeVehicles, ,93,1,1,0,9,2
Member,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator,CongestionTaxCalculator.TollFreeVehicles,Motorcycle : CongestionTaxCalculator.TollFreeVehicles,93,0,,0,1,1
Member,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator,CongestionTaxCalculator.TollFreeVehicles,Tractor : CongestionTaxCalculator.TollFreeVehicles,93,0,,0,1,1
Member,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator,CongestionTaxCalculator.TollFreeVehicles,Emergency : CongestionTaxCalculator.TollFreeVehicles,93,0,,0,1,1
Member,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator,CongestionTaxCalculator.TollFreeVehicles,Diplomat : CongestionTaxCalculator.TollFreeVehicles,93,0,,0,1,1
Member,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator,CongestionTaxCalculator.TollFreeVehicles,Foreign : CongestionTaxCalculator.TollFreeVehicles,93,0,,0,1,1
Member,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator,CongestionTaxCalculator.TollFreeVehicles,Military : CongestionTaxCalculator.TollFreeVehicles,93,0,,0,1,1
Type,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator,IVehicle, ,100,1,0,0,23,0
Member,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator,IVehicle,GetVehicleType() : string,100,1,,0,11,0
Type,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator,Motorbike, ,100,1,1,1,26,1
Member,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator,Motorbike,GetVehicleType() : string,100,1,,0,15,1
Namespace,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator.v2.Application.Services, , ,73,193,1,35,696,112
Type,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator.v2.Application.Services,CongestionTaxCalculatorV1, ,65,7,1,5,160,15
Member,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator.v2.Application.Services,CongestionTaxCalculatorV1,tollFeeCalculator : ITollFeeCalculatorStrategy,100,0,,1,1,0
Member,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator.v2.Application.Services,CongestionTaxCalculatorV1,CongestionTaxCalculatorV1(ITollFeeCalculatorStrategy),96,1,,1,4,1
Member,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator.v2.Application.Services,CongestionTaxCalculatorV1,"GetTax(IVehicle, DateTime[]) : int",57,6,,4,147,14
Type,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator.v2.Application.Services,CongestionTaxCalculatorV2, ,61,8,1,11,71,18
Member,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator.v2.Application.Services,CongestionTaxCalculatorV2,tollFeeCalculator : ITollFeeCalculatorStrategy,100,0,,1,1,0
Member,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator.v2.Application.Services,CongestionTaxCalculatorV2,CongestionTaxCalculatorV2(ITollFeeCalculatorStrategy),96,1,,1,4,1
Member,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator.v2.Application.Services,CongestionTaxCalculatorV2,"GetTax(IVehicle, DateTime[]) : int",52,7,,10,57,17
Type,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator.v2.Application.Services,DateTollFeeStrategyV1, ,54,64,1,5,79,19
Member,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator.v2.Application.Services,DateTollFeeStrategyV1,GetDateTollFee(DateTime) : int,49,37,,3,34,14
Member,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator.v2.Application.Services,DateTollFeeStrategyV1,IsTollFreeDate(DateTime) : bool,61,27,,2,38,5
Type,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator.v2.Application.Services,DateTollFeeStrategyV2, ,54,64,1,5,75,19
Member,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator.v2.Application.Services,DateTollFeeStrategyV2,GetDateTollFee(DateTime) : int,49,37,,3,31,14
Member,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator.v2.Application.Services,DateTollFeeStrategyV2,IsTollFreeDate(DateTime) : bool,61,27,,2,37,5
Type,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator.v2.Application.Services,DateTollFeeStrategyV3, ,72,35,1,13,73,13
Member,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator.v2.Application.Services,DateTollFeeStrategyV3,_taxRuleRepository : ITaxRuleRepository,100,0,,1,1,0
Member,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator.v2.Application.Services,DateTollFeeStrategyV3,City : string,100,2,,0,1,0
Member,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator.v2.Application.Services,DateTollFeeStrategyV3,City.get() : string,100,1,,0,1,0
Member,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator.v2.Application.Services,DateTollFeeStrategyV3,City.set(string) : void,100,1,,0,1,0
Member,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator.v2.Application.Services,DateTollFeeStrategyV3,"DateTollFeeStrategyV3(ITaxRuleRepository, string)",85,1,,1,10,2
Member,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator.v2.Application.Services,DateTollFeeStrategyV3,GetDateTollFee(DateTime) : int,69,4,,10,15,5
Member,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator.v2.Application.Services,DateTollFeeStrategyV3,IsTollFreeDate(DateTime) : bool,59,28,,4,39,6
Type,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator.v2.Application.Services,MainCongestionTaxCalculatorNew, ,81,6,1,17,83,14
Member,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator.v2.Application.Services,MainCongestionTaxCalculatorNew,ctcv1 : ICongestionTaxCalculatorStrategy,85,0,,8,5,1
Member,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator.v2.Application.Services,MainCongestionTaxCalculatorNew,"GetTaxV1Base(IVehicle, DateTime[]) : int",92,1,,3,4,1
Member,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator.v2.Application.Services,MainCongestionTaxCalculatorNew,ctcv2 : ICongestionTaxCalculatorStrategy,85,0,,8,5,1
Member,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator.v2.Application.Services,MainCongestionTaxCalculatorNew,"GetTaxV2(IVehicle, DateTime[]) : int",92,1,,3,4,1
Member,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator.v2.Application.Services,MainCongestionTaxCalculatorNew,CSVFileAddress : string,93,0,,0,1,1
Member,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator.v2.Application.Services,MainCongestionTaxCalculatorNew,MDFileAddress : string,93,0,,0,1,1
Member,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator.v2.Application.Services,MainCongestionTaxCalculatorNew,ctcv3CSV : ICongestionTaxCalculatorStrategy,83,0,,10,6,1
Member,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator.v2.Application.Services,MainCongestionTaxCalculatorNew,"GetTaxV3GothenburgFromCSVFile(IVehicle, DateTime[]) : int",92,1,,3,4,1
Member,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator.v2.Application.Services,MainCongestionTaxCalculatorNew,"GetTaxV3CSVFile(IVehicle, DateTime[], string) : int",74,1,,12,11,3
Member,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator.v2.Application.Services,MainCongestionTaxCalculatorNew,ctcv3MD : ICongestionTaxCalculatorStrategy,83,0,,10,6,1
Member,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator.v2.Application.Services,MainCongestionTaxCalculatorNew,"GetTaxV3GothenburgFromMDFile(IVehicle, DateTime[]) : int",92,1,,3,4,1
Member,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator.v2.Application.Services,MainCongestionTaxCalculatorNew,"GetTaxV3MDFile(IVehicle, DateTime[], string) : int",74,1,,12,11,3
Type,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator.v2.Application.Services,TollFeeStrategyV1, ,83,3,1,5,32,4
Member,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator.v2.Application.Services,TollFeeStrategyV1,vehicleTollFeeStrategy : IVehicleTollFeeStrategy,100,0,,1,1,0
Member,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator.v2.Application.Services,TollFeeStrategyV1,dateTollFeeStrategy : IDateTollFeeStrategy,100,0,,1,1,0
Member,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator.v2.Application.Services,TollFeeStrategyV1,"TollFeeStrategyV1(IVehicleTollFeeStrategy, IDateTollFeeStrategy)",85,1,,2,10,2
Member,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator.v2.Application.Services,TollFeeStrategyV1,"GetTollFee(IVehicle, DateTime) : int",82,2,,4,11,2
Type,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator.v2.Application.Services,VehicleTollFeeStrategyV1, ,74,2,1,8,64,4
Member,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator.v2.Application.Services,VehicleTollFeeStrategyV1,IsVehicleTollFree(IVehicle) : bool,74,2,,7,25,4
Type,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator.v2.Application.Services,VehicleTollFeeStrategyV1.TollFreeVehicles, ,93,1,1,0,32,2
Member,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator.v2.Application.Services,VehicleTollFeeStrategyV1.TollFreeVehicles,Motorcycle : VehicleTollFeeStrategyV1.TollFreeVehicles,93,0,,0,1,1
Member,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator.v2.Application.Services,VehicleTollFeeStrategyV1.TollFreeVehicles,Tractor : VehicleTollFeeStrategyV1.TollFreeVehicles,93,0,,0,6,1
Member,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator.v2.Application.Services,VehicleTollFeeStrategyV1.TollFreeVehicles,Emergency : VehicleTollFeeStrategyV1.TollFreeVehicles,93,0,,0,1,1
Member,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator.v2.Application.Services,VehicleTollFeeStrategyV1.TollFreeVehicles,Diplomat : VehicleTollFeeStrategyV1.TollFreeVehicles,93,0,,0,1,1
Member,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator.v2.Application.Services,VehicleTollFeeStrategyV1.TollFreeVehicles,Foreign : VehicleTollFeeStrategyV1.TollFreeVehicles,93,0,,0,1,1
Member,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator.v2.Application.Services,VehicleTollFeeStrategyV1.TollFreeVehicles,Military : VehicleTollFeeStrategyV1.TollFreeVehicles,93,0,,0,1,1
Type,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator.v2.Application.Services,VehicleTollFeeStrategyV2, ,74,2,1,8,32,4
Member,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator.v2.Application.Services,VehicleTollFeeStrategyV2,IsVehicleTollFree(IVehicle) : bool,74,2,,7,11,4
Type,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator.v2.Application.Services,VehicleTollFeeStrategyV2.TollFreeVehicles, ,100,1,1,0,13,0
Member,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator.v2.Application.Services,VehicleTollFeeStrategyV2.TollFreeVehicles,Emergency : VehicleTollFeeStrategyV2.TollFreeVehicles,100,0,,0,1,0
Member,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator.v2.Application.Services,VehicleTollFeeStrategyV2.TollFreeVehicles,Bus : VehicleTollFeeStrategyV2.TollFreeVehicles,100,0,,0,1,0
Member,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator.v2.Application.Services,VehicleTollFeeStrategyV2.TollFreeVehicles,Diplomat : VehicleTollFeeStrategyV2.TollFreeVehicles,100,0,,0,1,0
Member,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator.v2.Application.Services,VehicleTollFeeStrategyV2.TollFreeVehicles,Motorcycle : VehicleTollFeeStrategyV2.TollFreeVehicles,100,0,,0,1,0
Member,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator.v2.Application.Services,VehicleTollFeeStrategyV2.TollFreeVehicles,Military : VehicleTollFeeStrategyV2.TollFreeVehicles,100,0,,0,1,0
Member,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator.v2.Application.Services,VehicleTollFeeStrategyV2.TollFreeVehicles,Foreign : VehicleTollFeeStrategyV2.TollFreeVehicles,100,0,,0,1,0
Namespace,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator.v2.Application.Services.Interfaces, , ,99,5,0,3,99,1
Type,Congestion-Tax-Calculator-Net-Core (Debug),congestion.calculator.v2.Application.Services.Interfaces,ICongestionTaxCalculatorStrategy, ,100,1,0,2,18,0
